Name,Card Code,Collections,Albums (from Collections),Rarity,Energy,Power,Ability Title,Ability (Override)
Baphomet,CTO002,The Occult,Culture,Epic,5,4,Judgement of Balance,"<indent=1em>:return:</indent><indent=2em>If only you <nobr>Attacked :attack:</nobr> this turn, lose <nobr>-10 :health:</nobr>. If only your opponent <nobr>Attacked :attack:</nobr> this turn, they lose <nobr>-10 :health:</nobr>.</indent>"
Centaur,CGM014,Greek Mythology,Culture,Common,7,4,Lawless,<indent=1em>:play:</indent><indent=2em>Both players lose -3 :shield:.</indent>
Pug,NDO002,Dogs,Nature,Legendary,3,2,Companion,"<indent=1em>:play:</indent><indent=2em>If your deck contains 2+ Human cards, your Nature cards in hand gain <nobr>+1 :attack:</nobr> until played.</indent>"
Paper,SII001,Ingenious Inventions,Science,Legendary,3,2,Legend Has It...,"<indent=1em>:play:</indent><indent=2em>If your deck contains 2+ Deity cards, your Science cards in hand gain <nobr>+1 :attack:</nobr> until played.</indent>"
Eric Bloodaxe,HVV001,Vicious Vikings,History,Legendary,3,2,Lying in Wait,"<indent=1em>:play:</indent><indent=2em>If your deck contains 2+ Creature cards, your History cards in hand gain <nobr>+1 :attack:</nobr> until played.</indent>"
Kitsune,CJF001,Japanese Folklore,Culture,Legendary,3,2,Messenger,"<indent=1em>:play:</indent><indent=2em>If your deck contains 2+ Concept cards, your Culture cards in hand gain <nobr>+1 :attack:</nobr> until played.</indent>"
The Wheel,SII002,Ingenious Inventions,Science,Legendary,5,4,Of Fortune,"<indent=1em>:play:</indent><indent=2em>For every Science card in your hand, up to a maximum of 3, your Deity cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Labrador,NDO001,Dogs,Nature,Legendary,5,4,Gun Dog,"<indent=1em>:play:</indent><indent=2em>For every Nature card in your hand, up to a maximum of 3, your Human cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Ivar the Boneless,HVV002,Vicious Vikings,History,Legendary,5,4,Exosus,"<indent=1em>:play:</indent><indent=2em>For every History card in your hand, up to a maximum of 3, your Creature cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Oni,CJF002,Japanese Folklore,Culture,Legendary,5,4,Shapeshifter,"<indent=1em>:play:</indent><indent=2em>For every Culture card in your hand, up to a maximum of 3, your Concept cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Boudica,HHE005,Heroes of History,History,Hero,0,80,Independent Revolt,"Gain <nobr>+10 Hero :attack:</nobr>, and lose <nobr>-4 Hero :attack:</nobr> for every card you play this turn. <nobr>[2 :charge:]</nobr>"
Cane Toad,NAM004,Amphibians,Nature,Rare,6,4,Toxic,"<indent=1em>:play:</indent><indent=2em>If your opponent <nobr>Attacked :attack:</nobr> last turn, <nobr>force :attack:</nobr> them to Attack this turn.</indent>"
Birth of Venus,CMA003,Masterpieces,Culture,Rare,5,2,Divine Beauty,"<indent=1em>:play:</indent><indent=2em>If played in the centre, your cards gain <nobr>+2 :attack:</nobr> this turn.</indent>"
Red Dwarf,SES001,Across the Universe,Science,Legendary,7,3,The Coolest,<indent=1em>:return:</indent><indent=2em>A random card in each player's hand <nobr>Freezes :freeze:</nobr> permanently.</indent>
P.T. Barnum,HHC004,Hoaxes and Cons,History,Common,5,1,Step Right Up,<indent=1em>:draw:</indent><indent=2em>This card steals <nobr>+1 :attack:</nobr> from your opponent's cards in hand this turn.</indent>
Fiji Mermaid,HHC008,Hoaxes and Cons,History,Fusion,5,3,Humbug,"<indent=1em>:play:</indent><indent=2em>If played between two Nature cards, your Hoaxes and Cons cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Pierre Brassau,HHC006,Hoaxes and Cons,History,Common,5,2,A Natural,"<indent=1em>:play:</indent><indent=2em>If your deck contains 1 or more Nature cards, your Masterpieces cards in hand gain <nobr>+1 :attack:</nobr> until played.</indent>"
Count of St. Germain,HHC007,Hoaxes and Cons,History,Common,4,0,Wonderman,"<indent=1em>:play:</indent><indent=2em>For every Album in your opponent's deck, this card gains <nobr>+1 :attack:</nobr> permanently.</indent>"
Pan Am Flight 914,HHC005,Hoaxes and Cons,History,Common,4,0,Rare Sighting,"<indent=1em>:draw:</indent><indent=2em>If you have played Pan Am Flight 914 exactly once this game, this card gains <nobr>+10 :attack:</nobr> this turn.</indent>"
Spotted Salamander,NAM003,Amphibians,Nature,Rare,4,2,Endosymbiosis,"<indent=1em>:return:</indent><indent=2em>If you were <nobr>Attacked :attack:</nobr> this turn, restore <nobr>+8 :health:</nobr>.</indent>"
Girl with a Pearl Earring,CMA001,Masterpieces,Culture,Legendary,8,2,Light in Darkness,"<indent=1em>:return:</indent><indent=2em>If your opponent has <nobr>20+ Hero :attack:</nobr>, your cards gain <nobr>+2 :attack:</nobr> until played.</indent>"
Glass Frog,NAM002,Amphibians,Nature,Epic,5,2,Full Transparency,"<indent=1em>:play:</indent><indent=2em>If played next to an Anatomy card, restore <nobr>+7 :health:</nobr>.</indent>"
Exomoon,SES002,Across the Universe,Science,Epic,6,4,Beyond,"<indent=1em>:play:</indent><indent=2em>If your deck contains exactly 9 The Solar System cards, give them <nobr>+1 :attack:</nobr> permanently.</indent>"
The Milkmaid,CMA008,Masterpieces,Culture,Common,2,3,Working Class,<indent=1em>:play:</indent><indent=2em>3 random Common cards in your deck gain <nobr>+1 :attack:</nobr> until played.</indent>
American Gothic,CMA005,Masterpieces,Culture,Common,4,3,Americana,"<indent=1em>:draw:</indent><indent=2em>For every time you have been <nobr>Attacked :attack:</nobr> this game, restore <nobr>+1 :health:</nobr>.</indent>"
Whistler's Mother,CMA006,Masterpieces,Culture,Common,6,0,Motherhood,<indent=1em>:play:</indent><indent=2em>Your Masterpieces cards in-hand gain <nobr>+1 :attack:</nobr> permanently.</indent>
Great Wave Off Kanagawa,CMA007,Masterpieces,Culture,Common,5,3,Floating World,<indent=1em>:draw:</indent><indent=2em>Your Feudal Japan cards in hand cost <nobr>-2 :energy:</nobr> this turn.</indent>
Mona Lisa,CMA009,Masterpieces,Culture,Fusion,5,3,Smiling Politely,"<indent=1em>:draw:</indent><indent=2em>If your deck contains 6 or more Culture cards, your non-Culture cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Hot Jupiter,SES003,Across the Universe,Science,Rare,7,6,Handle the Heat,<indent=1em>:draw:</indent><indent=2em>A random Frozen card in your hand <nobr>Burns :burn: (-1)</nobr> this turn.</indent>
Charles Ponzi,HHC003,Hoaxes and Cons,History,Rare,3,0,Inverted Funnel System,"<indent=1em>:play:</indent><indent=2em>All other cards in both player’s hands lose <nobr>-1 :attack:</nobr> this turn, and this card gains <nobr>+3 :attack:</nobr> permanently.</indent>"
Wallace's Flying Frog,NAM001,Amphibians,Nature,Legendary,7,5,Glide,<indent=1em>:play:</indent><indent=2em>This card gains <nobr>:attack:</nobr> equal to the current turn number.</indent>
European Fire-Bellied Toad,NAM008,Amphibians,Nature,Common,3,1,Fire In Your Belly,<indent=1em>:draw:</indent><indent=2em>Your cards with Burn abilities in hand gain <nobr>+1 :attack:</nobr> this turn.</indent>
Pacman Frog,NAM006,Amphibians,Nature,Common,5,3,Waka Waka,"<indent=1em>:play:</indent><indent=2em>If your deck contains Cherry, gain <nobr>+4 Hero :attack:</nobr>.</indent>"
Great Crested Newt,NAM007,Amphibians,Nature,Common,3,3,Regeneration,<indent=1em>:return:</indent><indent=2em>Restore <nobr>+2 :health:</nobr>.</indent>
Indian Bullfrog,NAM009,Amphibians,Nature,Fusion,4,3,Research,"<indent=1em>:play:</indent><indent=2em>For every Science card in your hand, gain <nobr>+2 Hero :attack:</nobr>.</indent>"
Red Eyed Tree Frog,NAM005,Amphibians,Nature,Common,4,3,Standing Out,"<indent=1em>:return:</indent><indent=2em>If this is the only card you played this turn, <nobr>Freeze :freeze:</nobr> 2 opponent cards next turn.</indent>"
Wanderer Above the Sea of Fog,CMA004,Masterpieces,Culture,Rare,4,5,Rise Above,"<indent=1em>:return:</indent><indent=2em>If your opponent <nobr>Attacked :attack:</nobr> this turn, your cards gain <nobr>+2 :attack:</nobr> next turn.</indent>"
D.B. Cooper,HHC001,Hoaxes and Cons,History,Legendary,8,3,Flew the Coop,"<indent=1em>:play:</indent><indent=2em>If you haven't played D.B. Cooper this game, steal up to <nobr>+7 Hero :attack:</nobr> from your opponent.</indent>"
Iron Maiden,HHC002,Hoaxes and Cons,History,Epic,6,5,It's a Trap,"<indent=1em>:play:</indent><indent=2em>If you have 15 or less <nobr>Hero :attack:</nobr>, <nobr>force :attack:</nobr> your opponent to Attack this turn.</indent>"
The Kiss,CMA002,Masterpieces,Culture,Epic,5,4,Golden Period,"<indent=1em>:play:</indent><indent=2em>For every Human card played adjacent to this card this turn, restore <nobr>+3 :health:</nobr>.</indent>"
Rogue Planet,SES007,Across the Universe,Science,Common,3,0,Free Floating,"<indent=1em>:play:</indent><indent=2em>If played adjacent to no other Science cards, this card gains <nobr>+4 :attack:</nobr> this turn.</indent>"
Great Conjunction,SES008,Across the Universe,Science,Fusion,6,4,Rare Connection,"<indent=1em>:play:</indent><indent=2em>If your deck contains Jupiter and Saturn, your Across the Universe cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Cthonian Planet,SES006,Across the Universe,Science,Common,5,3,Atmospheric Stripping,"<indent=1em>:play:</indent><indent=2em>If played next to Hydrogen or Helium, your cards in hand gain <nobr>+1 :attack:</nobr> this turn.</indent>"
White Dwarf,SES004,Across the Universe,Science,Common,5,4,No Fusion,<indent=1em>:return:</indent><indent=2em>A random Fusion card in your opponent's deck costs <nobr>+1 :energy:</nobr> permanently.</indent>
Ocean Worlds,SES005,Across the Universe,Science,Common,4,3,Hydrosphere,"<indent=1em>:play:</indent><indent=2em>If played between 2 Aquatic cards, those cards gain <nobr>+2 :attack:</nobr> this turn.</indent>"
Tiger Salamander,NAM010,Amphibians,Nature,Rare,4,3,Striped,"<indent=1em>:draw:</indent><indent=2em>If your deck contains Bengal Tiger, this card gains <nobr>+1 :attack:</nobr>. Repeat if your deck contains Sand Tiger Shark.</indent>"
Tiara of Saitaferne,HHC009,Hoaxes and Cons,History,Rare,5,4,Fool's Gold,"<indent=1em>:play:</indent><indent=2em>If your deck contains Gold, your opponent's History cards in-hand lose <nobr>-1 :attack:</nobr> until played.</indent>"
Self-Portrait in a Straw Hat,CMA010,Masterpieces,Culture,Rare,3,2,Inspired Imitation,<indent=1em>:draw:</indent><indent=2em>Copy a random Shield ability from either player's deck.</indent>
Earth Analog,SES009,Across the Universe,Science,Rare,7,4,Looks Familiar,"<indent=1em>:return:</indent><indent=2em>For every turn completed this game, gain <nobr>+1 :energy:</nobr>.</indent>"
Loki,CHE005,Heroes of Culture,Culture,Hero,0,70,Glorious Purpose,"For every card your opponent plays this turn, Restore <nobr>+5 :health:</nobr>. <nobr>[3 :charge:]</nobr>"
Dökkálfar,CNM004,Norse Mythology,Culture,Rare,4,0,Blacker than Pitch,<indent=1em>:play:</indent><indent=2em>Lose <nobr>-4 :health:</nobr> and gain <nobr>+8 Hero :attack:</nobr>.</indent>
"Christina, Queen of Sweden",HUR004,Unruly Rulers,History,Rare,5,3,Baroque Protector,"<indent=1em>:play:</indent><indent=2em>For every Masterpieces card in your hand, Gain <nobr>+1 :shield:</nobr>.</indent>"
Emperor Penguin,NSB001,Sea Birds,Nature,Legendary,8,5,Waddle You Waiting For?,"<indent=1em>:draw:</indent><indent=2em>If you have not <nobr>Attacked :attack:</nobr> this game, your Sea Birds gain <nobr>+1 :attack:</nobr>.</indent>"
Empress Suiko,HUR009,Unruly Rulers,History,Common,4,2,Josei Tennō,"<indent=1em>:return:</indent><indent=2em>If played next to any Feudal Japan card, gain <nobr>+1 :charge:</nobr>.</indent>"
George III,HUR008,Unruly Rulers,History,Common,3,2,Act of Union,"<indent=1em>:play:</indent><indent=2em>If played between cards from 2 different Albums, gain <nobr>+4 :shield:</nobr>.</indent>"
"Rudolf II, Holy Roman Emperor",HUR010,Unruly Rulers,History,Common,4,2,Occult Sciences,"<indent=1em>:play:</indent><indent=2em>If your deck contains 1+ The Occult cards, your Science cards in hand gain <nobr>+1 :attack:</nobr> until played.</indent>"
Nzinga of Ndongo and Matamba,HUR011,Unruly Rulers,History,Common,4,3,Diplomancy,"<indent=1em>:play:</indent><indent=2em>If played between two Unruly Rulers cards, gain <nobr>+3 Hero :attack:</nobr>.</indent>"
Valkyrie,CNM005,Norse Mythology,Culture,Rare,6,4,Battle Ready,"<indent=1em>:play:</indent><indent=2em>If your opponent is <nobr>Attacking :attack:</nobr> this turn, gain <nobr>+5 Hero :attack:</nobr>.</indent>"
Razorbill,NSB004,Sea Birds,Nature,Rare,2,0,Auk-ward,"<indent=1em>:draw:</indent><indent=2em>If you <nobr>Attacked :attack:</nobr> last turn, your Flying cards in hand gain <nobr>+1 :attack:</nobr>.</indent>"
Charlemagne,HUR002,Unruly Rulers,History,Epic,5,5,My Armies,"<indent=1em>:turnstart:</indent><indent=2em>For every Nature card in your hand, this card gains <nobr>+1 :attack:</nobr> this turn.</indent>"
King Penguin,NSB002,Sea Birds,Nature,Epic,5,3,Welcome to the Waddle,<indent=1em>:draw:</indent><indent=2em>Your Common Sea Birds cards cost <nobr>-2 :energy:</nobr> for 2 turns.</indent>
The Wild Hunt,CNM010,Norse Mythology,Culture,Common,5,0,Buck Wild,"<indent=1em>:draw:</indent><indent=2em>If it's a Wild Turn, this card gains <nobr>+10 :attack:</nobr> until Wild Turns end.</indent>"
Draugr,CNM009,Norse Mythology,Culture,Common,3,2,Cold Damage,<indent=1em>:draw:</indent><indent=2em>All Frozen cards lose <nobr>-1 :attack:</nobr> until played.</indent>
Sága,CNM011,Norse Mythology,Culture,Common,4,3,Drinking Buddy,"<indent=1em>:play:</indent><indent=2em>If played next to any Norse Mythology card, gain <nobr>+4 :shield:</nobr>.</indent>"
Midgard,CNM008,Norse Mythology,Culture,Common,4,2,Middle Earth,<indent=1em>:draw:</indent><indent=2em>Your Common and Rare Norse Mythology cards gain <nobr>+1 :attack:</nobr> this turn.</indent>
Rockhopper Penguin,NSB005,Sea Birds,Nature,Rare,3,2,Welcome to the Waddle,<indent=1em>:play:</indent><indent=2em>Your Emperor Penguin card gains <nobr>+1 :attack:</nobr>.</indent>
Ljósálfar,CNM006,Norse Mythology,Culture,Rare,4,0,Fairer Than Sun,<indent=1em>:play:</indent><indent=2em>Lose <nobr>-4 Hero :attack:</nobr> and restore <nobr>+8 :health:</nobr>.</indent>
Attila the Hun,HUR001,Unruly Rulers,History,Legendary,6,4,Scatter Your Enemy,"<indent=1em>:play:</indent><indent=2em>If you are <nobr>attacking :attack:</nobr> this turn, 8 of your opponent’s cards lose <nobr>-1 :attack:</nobr> until played.</indent>"
Antarctic Shag,NSB008,Sea Birds,Nature,Common,4,2,Caruncle,<indent=1em>:play:</indent><indent=2em>Your History cards gain <nobr>+1 :attack:</nobr> this turn.</indent>
Chinstrap Penguin,NSB009,Sea Birds,Nature,Common,5,3,Welcome to the Waddle,<indent=1em>:play:</indent><indent=2em>Your Fiordland Penguin card gains <nobr>+1 :attack:</nobr> until played.</indent>
Gentoo Penguin,NSB010,Sea Birds,Nature,Common,4,2,Welcome to the Waddle,<indent=1em>:play:</indent><indent=2em>Your Rockhopper Penguin card gains <nobr>+1 :attack:</nobr> until played.</indent>
Pygmy Cormorant,NSB011,Sea Birds,Nature,Common,4,5,Protected Habitat,"<indent=1em>:play:</indent><indent=2em>For every Human card in your hand, this card loses <nobr>-1 :attack:</nobr> this turn.</indent>"
Heimdall,CNM007,Norse Mythology,Culture,Rare,6,3,All Seeing,"<indent=1em>:return:</indent><indent=2em>For every Deity card you played this turn, a random Human card in your deck gains <nobr>+2 :attack:</nobr> until played.</indent>"
Louis XIV,HUR005,Unruly Rulers,History,Rare,8,5,Absolutist,"<indent=1em>:play:</indent><indent=2em>If your opponent’s deck contains 6+ non-History cards, your cards gain <nobr>+1 :attack:</nobr> for 2 turns.</indent>"
Puffin,NSB003,Sea Birds,Nature,Epic,8,6,Buffin',<indent=1em>:draw:</indent><indent=2em>Your Emperor Penguin card costs <nobr>-4 :energy:</nobr> this turn.</indent>
Freyja,CNM003,Norse Mythology,Culture,Epic,5,4,The Lady,"<indent=1em>:play:</indent><indent=2em>If played between two Felines cards, your cards in hand gain <nobr>+2 :attack:</nobr> this turn.</indent>"
Selim III,HUR012,Unruly Rulers,History,Common,3,1,Enlightened Ruler,"<indent=1em>:play:</indent><indent=2em>If your opponent has 6 or more <nobr>:shield:</nobr>, steal <nobr>3 :shield:</nobr>.</indent>"
Charles II of England,HUR014,Unruly Rulers,History,Common,4,3,Merry Monarch,"<indent=1em>:draw:</indent><indent=2em>If you're above 50% <nobr>:health:</nobr>, 2 random Unruly Rulers cards in your hand gains <nobr>+1 :attack:</nobr>.</indent>"
Carlota of Mexico,HUR013,Unruly Rulers,History,Common,3,7,Short Reign,<indent=1em>:return:</indent><indent=2em>This card loses <nobr>-2 :attack:</nobr> and costs <nobr>+2 :energy:</nobr>.</indent>
Pedro II of Brazil,HUR015,Unruly Rulers,History,Common,5,3,Magnanimous,<indent=1em>:draw:</indent><indent=2em>1 random Culture card and 1 random Science card in either player's hand gains <nobr>+1 :attack:</nobr> until played.</indent>
Henry VIII,HUR016,Unruly Rulers,History,Fusion,6,6,Six,"<indent=1em>:draw:</indent><indent=2em>If your deck contains exactly 6 History cards, your non-History cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Fiordland Penguin,NSB006,Sea Birds,Nature,Rare,5,4,Welcome to the Waddle,<indent=1em>:play:</indent><indent=2em>Your King Penguin card gains <nobr>+1 :attack:</nobr>.</indent>
Ivan the Terrible,HUR006,Unruly Rulers,History,Rare,5,6,Truly Unruly,"<indent=1em>:draw:</indent><indent=2em>Lose <nobr>-2 :energy:</nobr>, and this card gains <nobr>+3 :attack:</nobr> until played.</indent>"
Thor,CNM001,Norse Mythology,Culture,Legendary,6,4,Worthy,"<indent=1em>:play:</indent><indent=2em>The opposite card loses <nobr>-2 :attack:</nobr> this turn, and this card gains <nobr>+2 :attack:</nobr> permanently.</indent>"
Tyr,CNM015,Norse Mythology,Culture,Common,5,3,One-Handed,"<indent=1em>:play:</indent><indent=2em>If played on the left, gain <nobr>+2 Hero :attack:</nobr>.</indent>"
Brunhild,CNM014,Norse Mythology,Culture,Common,2,3,Shieldmaiden,"<indent=1em>:play:</indent><indent=2em>If played next to Valkyrie, gain <nobr>+4 :shield:</nobr>.</indent>"
Jotunheim,CNM012,Norse Mythology,Culture,Common,4,2,Giant Country,<indent=1em>:draw:</indent><indent=2em>Your Epic and Legendary Norse Mythology cards gain <nobr>+1 :attack:</nobr> until played.</indent>
Fáfnir,CNM013,Norse Mythology,Culture,Common,4,2,Embrace Yourself,<indent=1em>:return:</indent><indent=2em>This card gains <nobr>+2 :attack:</nobr>.</indent>
Bifröst,CNM016,Norse Mythology,Culture,Fusion,4,3,Rainbow Road,"<indent=1em>:draw:</indent><indent=2em>If your deck contains at least 1 card from each album, gain <nobr>+5 Hero :attack:</nobr>.</indent>"
Wu Zetian,HUR007,Unruly Rulers,History,Rare,4,3,Her Story,<indent=1em>:draw:</indent><indent=2em>This card steals <nobr>1 :attack:</nobr> from both Heroes.</indent>
Arctic Tern,NSB007,Sea Birds,Nature,Rare,4,8,Long Migration,"<indent=1em>:turnstart:</indent><indent=2em>If it is before Turn 7, this card <nobr>Freezes :freeze:</nobr> this turn.</indent>"
Sif,CNM002,Norse Mythology,Culture,Epic,5,5,Fields of Gold,<indent=1em>:draw:</indent><indent=2em>2 random Nature cards in your hand gain <nobr>+2 :attack:</nobr> until played.</indent>
Elizabeth I,HUR003,Unruly Rulers,History,Epic,5,3,Offspring,<indent=1em>:return:</indent><indent=2em>Your Unruly Rulers cards gain <nobr>+1 :attack:</nobr> until played. Repeat if you have played Henry VIII.</indent>
Fulmar,NSB012,Sea Birds,Nature,Common,6,5,Cliffside,"<indent=1em>:play:</indent><indent=2em>If played between two Natural Monuments cards, this card gains <nobr>+2 :attack:</nobr>.</indent>"
European Herring Gull,NSB013,Sea Birds,Nature,Common,3,0,Pecking Order,"<indent=1em>:draw:</indent><indent=2em>If you have played 8+ Sea Birds cards this game, this card gains <nobr>+2 :attack:</nobr>.</indent>"
Gannet,NSB015,Sea Birds,Nature,Common,4,3,Dive,<indent=1em>:play:</indent><indent=2em>Your opponent's Aquatic cards lose <nobr>-1 :attack:</nobr> this turn.</indent>
Black Guillemot,NSB014,Sea Birds,Nature,Common,5,3,Swallowed Whole,<indent=1em>:play:</indent><indent=2em>A random card with 3 or less Base <nobr>:energy:</nobr> loses <nobr>-3 :attack:</nobr> this turn.</indent>
Royal Penguin,NSB016,Sea Birds,Nature,Fusion,8,7,God Save the 'Guin,"<indent=1em>:draw:</indent><indent=2em>If your deck contains exactly 6 History cards, your History cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Green Sea Turtle,NHE005,Heroes of Nature,Nature,Hero,0,80,In a Half-Shell,"For every 10 <nobr>:health:</nobr> you have lost, gain <nobr>+5 :shield:</nobr>. <nobr>[3 :charge:]</nobr>"
Friar Tuck,CRH004,Legend of Robin Hood,Culture,Rare,6,5,Curtal,"<indent=1em>:draw:</indent><indent=2em>If you have not played this card before, your Robin Hood cards gain <nobr>+1 :attack:</nobr> until played.</indent>"
Monsoon,SWW007,Wicked Weather,Science,Rare,6,3,Downpour,"<indent=1em>:return:</indent><indent=2em>For every turn completed this game, gain <nobr>+1 Hero :attack:</nobr>.</indent>"
Reef Manta Ray,NAR001,Around the Reef,Nature,Legendary,7,5,Shallow,"<indent=1em>:turnstart:</indent><indent=2em>If you have 10 or less <nobr>Hero :attack:</nobr>, gain <nobr>+3 Hero :attack:</nobr>.</indent>"
Rainbow Parrotfish,NAR009,Around the Reef,Nature,Common,4,3,Beak,<indent=1em>:return:</indent><indent=2em>Your remaining cards in hand gain +2 Attack next turn.</indent>
Snakelocks Anemone,NAR015,Around the Reef,Nature,Common,5,3,Attachment,"<indent=1em>:play:</indent><indent=2em>If played adjacent to any Natural Monuments card, this card gains <nobr>+4 :attack:</nobr> this turn.</indent>"
Hedgehog Seahorse,NAR014,Around the Reef,Nature,Common,6,4,Land and Sea,<indent=1em>:draw:</indent><indent=2em>A random Creature and random Aquatic card in your hand gain <nobr>+1 :attack:</nobr> this turn.</indent>
Grooved Brain Coral,NAR008,Around the Reef,Nature,Common,4,0,Sea Smarts,<indent=1em>:draw:</indent><indent=2em>Restore <nobr>+5 :health:</nobr>.</indent>
Prince John,CRH005,Legend of Robin Hood,Culture,Rare,7,7,Heavy Reign,"<indent=1em>:play:</indent><indent=2em>If either player plays an Unruly Rulers card this turn, this card loses -7 Attack.</indent>"
Heat Wave,SWW005,Wicked Weather,Science,Rare,5,2,Hot Turn,<indent=1em>:turnstart:</indent><indent=2em>A random card in either player’s hand Burns (-1) until played.</indent>
Volcanic Eruption,SWW003,Wicked Weather,Science,Epic,6,2,Fissure,<indent=1em>:draw:</indent><indent=2em>Burn (-1) all cards in both player's hands until this card is played.</indent>
Blue Tang,NAR003,Around the Reef,Nature,Epic,5,4,Surgeon's Palette,"<indent=1em>:play:</indent><indent=2em>For every Anatomy card in your hand, gain <nobr>+2 :shield:</nobr>.</indent>"
Will Scarlet,CRH008,Legend of Robin Hood,Culture,Common,6,4,Hot-Headed,"<indent=1em>:return:</indent><indent=2em>If your opponent <nobr>Attacked :attack:</nobr> this turn, gain <nobr>+1 :charge:</nobr>.</indent>"
Gilbert Whitehand,CRH009,Legend of Robin Hood,Culture,Common,4,2,Early Appearance,"<indent=1em>:draw:</indent><indent=2em>If it is Turn 3 or before, this card gains <nobr>+2 :attack:</nobr>.</indent>"
Much the Miller's Son,CRH010,Legend of Robin Hood,Culture,Common,4,1,Rescue,<indent=1em>:draw:</indent><indent=2em>Your Robin Hood card costs <nobr>-3 :energy:</nobr> this turn.</indent>
Allan-a-Dale,CRH011,Legend of Robin Hood,Culture,Common,6,3,Wandering,<indent=1em>:play:</indent><indent=2em>Your Robin Hood cards in hand gain <nobr>+1 :attack:</nobr> until played.</indent>
Giant Clam,NAR007,Around the Reef,Nature,Rare,7,0,Filtered,"<indent=1em>:draw:</indent><indent=2em>For every Around the Reef card in your hand, this card gains <nobr>+1 :attack:</nobr> permanently.</indent>"
Elegant Sea Star,NAR006,Around the Reef,Nature,Rare,5,3,Five-Point,<indent=1em>:return:</indent><indent=2em>Disarm 5 random cards in either player's deck until the end of next turn.</indent>
Robin Hood,CRH001,Legend of Robin Hood,Culture,Legendary,4,5,Rob From The Rich,"<indent=1em>:play:</indent><indent=2em>All cards with 5 or more Base <nobr>:attack:</nobr> lose <nobr>-1 :attack:</nobr>, and all cards with 4 or less Base <nobr>:attack:</nobr> gain <nobr>+1 :attack:</nobr>.</indent>"
Great Barrier Reef,NAR016,Around the Reef,Nature,Fusion,4,3,Good Reef!,"<indent=1em>:play:</indent><indent=2em>If played between two Science cards, your Around the Reef cards gain +2 Power until played.</indent>"
Sea Whip,NAR013,Around the Reef,Nature,Common,3,2,Whip It,<indent=1em>:play:</indent><indent=2em>The card opposite loses -1 Attack this turn.</indent>
Bubble Coral,NAR012,Around the Reef,Nature,Common,2,1,Juicy,<indent=1em>:play:</indent><indent=2em>Your Food and Drink cards in hand gain <nobr>+1 :attack:</nobr> this turn.</indent>
Gorgonian Wrapper,NAR010,Around the Reef,Nature,Common,4,4,Unwrapped,"<indent=1em>:play:</indent><indent=2em>Your other cards in-hand gain <nobr>+1 :attack:</nobr> until played, and this card loses <nobr>-4 :attack:</nobr> permanently.</indent>"
Red Sea Urchin,NAR011,Around the Reef,Nature,Common,6,5,The Test,"<indent=1em>:play:</indent><indent=2em>If you have not played this card before, gain <nobr>+8 :shield:</nobr>.</indent>"
Perfect Storm,SWW004,Wicked Weather,Science,Rare,3,0,Worst Case Scenario,"<indent=1em>:turnstart:</indent><indent=2em>For every Wicked Weather card in either player's hand, this card gains <nobr>+1 :attack:</nobr> this turn.</indent>"
Sheriff of Nottingham,CRH007,Legend of Robin Hood,Culture,Rare,5,6,That's Going to Cost You,"<indent=1em>:play:</indent><indent=2em>For every time you have played Robin Hood this game, the opposite card loses <nobr>-1 :attack:</nobr> this turn.</indent>"
Clownfish,NAR002,Around the Reef,Nature,Epic,6,4,Finding...,"<indent=1em>:play:</indent><indent=2em>For every Aquatic card in either player's hand, this card gains <nobr>+1 :attack:</nobr> this turn.</indent>"
Little John,CRH002,Legend of Robin Hood,Culture,Epic,8,0,Misnomer,"<indent=1em>:draw:</indent><indent=2em>For every Robin Hood card in your hand, this card gains <nobr>+1 :attack:</nobr>.</indent>"
Sunshine,SWW013,Wicked Weather,Science,Common,4,2,Life Affirming,<indent=1em>:draw:</indent><indent=2em>Your Nature cards in hand gain +1 Attack until played.</indent>
Brinicle,SWW015,Wicked Weather,Science,Common,6,5,Underside,"<indent=1em>:draw:</indent><indent=2em>If you have less Hero Attack than your opponent this turn, gain +4 Hero Attack.</indent>"
Fog,SWW014,Wicked Weather,Science,Common,5,3,Low Visibility,<indent=1em>:draw:</indent><indent=2em>A random card in your opponent's hand loses between -1 and -3 Attack this turn.</indent>
Hail,SWW012,Wicked Weather,Science,Common,3,3,Solid,<indent=1em>:draw:</indent><indent=2em>Reset this card.</indent>
Lightning,SWW017,Wicked Weather,Science,Common,6,8,,
Asteroid,SES010,Across the Universe,Science,Common,4,3,Smackdown,"<indent=1em>:play:</indent><indent=2em>If played next to Pterodactyl, gain <nobr>+5 Hero :attack:</nobr>.</indent>"
Empire State Building,SAA001,Awesome Architecture,Science,Rare,4,3,Kong Along,"<indent=1em>:play:</indent><indent=2em>If played next to Gorilla, both cards gain <nobr>+3 :attack:</nobr> this turn.</indent>"
